,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev,Turbine,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
2,WTG-A,8.714678764,8.71420002,8.713392258,8.71420002,8.714710236,8.71420002,2775.858643,61.85650635,2155.557861,1652826,70.30000305,-3.700000048,13.45245075,OnLine,40.3453598,34.00183868,49.80778503,89.45481873,7.942730427,77.62654114,151,11.25026798,2.638807058,,,,,,,,,,,,,,,,,,,,,,,,
146,WTG-A,10.82501125,10.88660526,10.84962845,10.86812115,10.82320309,10.87478065,2820,62.39992905,2080.457031,1698993,69.69999695,-3.700000048,13.34343052,OnLine,39.70117188,30.01291275,49.61876297,88.72986603,5.89477396,123.6585007,356,15.01287746,0.031066895,,,,,,,,,,,,,,,,,,,,,,,,
290,WTG-A,5.072573185,5.105515003,5.074607372,5.105515003,5.075725555,5.105515003,620.7914429,58.72430801,871.1188965,1742144,65.63666534,-3.700000048,10.02925491,OnLine,40.26880646,25.25382042,43.90000153,66.69158173,11.85461521,74.86589813,11,5.704459667,3.779207945,,,,,,,,,,,,,,,,,,,,,,,,
434,WTG-A,2.901829958,2.877779484,2.899496794,2.877779484,2.898755789,2.877779484,1383.987915,57.91507339,1183.243774,1747121,65.11424255,-3.700000048,11.14127254,OnLine,40.04701614,27.86932945,40.8945694,74.08616638,9.92548275,27.48511124,126,7.468443871,5.244410515,,,,,,,,,,,,,,,,,,,,,,,,
578,WTG-A,7.705586433,7.701021194,7.773887634,7.751465321,7.763855934,7.752444267,2741.435547,62.34480286,2098.353027,1780220,69.59177399,-3.700000048,13.42706108,OnLine,37.9906044,29.78770065,46.22646332,89.28598785,7.849525928,92.80037689,162,11.43005466,2.592979431,,,,,,,,,,,,,,,,,,,,,,,,
722,WTG-A,6.200973988,6.306295395,5.667518616,5.681907177,6.243810654,6.142179489,1400.195313,59.67302704,1395.430908,1815341,67,-3.700000048,13.58908939,OnLine,35.79999924,28.89862823,46.8506279,90.36342621,12.04711914,181.0293579,23,7.499419689,12.61397171,,,,,,,,,,,,,,,,,,,,,,,,
866,WTG-A,10.09042263,9.522638321,10.32376575,10.67136288,7.768413067,7.889417171,2819.085693,62.5,1520.975952,1843443,69.91538239,-3.700000048,13.41190052,OnLine,40.18436432,30.8659668,46.44835663,89.18517303,7.370337963,63.88897705,164,12.08576775,2.186020374,,,,,,,,,,,,,,,,,,,,,,,,
1010,WTG-A,11.93100739,11.37862015,12.70428658,12.81956673,10.26025581,10.38818932,2819.998779,62.33986282,1281.964233,1887616,69.68352509,-3.700000048,13.06602287,OnLine,40.20000076,32.99802017,50.77064514,86.88518524,6.690460682,129.9470978,180,13.00259495,0.275173038,,,,,,,,,,,,,,,,,,,,,,,,
1154,WTG-A,3.40051055,3.329698563,3.353836536,3.335407495,3.348549843,3.330437422,2150.17749,62.22553635,2616.869141,1917976,70.04524994,-3.700000048,13.10374165,OnLine,42.7961731,33.18483734,48.89251328,87.13600922,9.743897438,114.6107483,174,8.935417175,8.940048218,,,,,,,,,,,,,,,,,,,,,,,,
1298,WTG-A,-0.811029851,-0.738209665,-0.811659873,-0.738209665,-0.813185036,-0.738209665,1039.768188,57.19500732,857.0837402,1942054,64.73558044,-3.700000048,9.525530815,OnLine,42.00643921,32.74332428,48.87786865,63.34196854,9.405495644,26.3748436,144,6.7628479,7.040555,,,,,,,,,,,,,,,,,,,,,,,,
1442,WTG-A,2.047031879,2.080940485,2.071009398,2.080940485,2.066359043,2.080940485,1781.610107,62.02426529,2003.134521,1979188,69.67156982,-3.700000048,13.04790306,OnLine,39.194561,30.70839119,47.86362839,86.76470184,10.73828888,105.1815948,121,8.225923538,3.572508812,,,,,,,,,,,,,,,,,,,,,,,,
1586,WTG-A,84.99849701,82.89138031,85.00556183,82.89138031,85.00174713,82.89138031,174.0928802,52.43584824,-15.79117298,1999255,58.01482391,-3.700000048,0.066602677,External Curtailment,33.70539474,23.81921577,39.22699356,0.442888111,0.111859046,14.47548485,2,3.931774378,0.65141654,,,,,,,,,,,,,,,,,,,,,,,,
1730,WTG-A,83.77011871,82.51879883,82.72190094,82.51879883,82.74786377,82.51879883,7.743801594,39.70000076,-13.89178658,2004013,39.97956467,-3.700000048,0.230205998,Weather Outage,30.18879318,25.31020355,30.01315498,1.530801892,1.782797456,3.009348631,-16,0.860422432,47.32144928,,,,,,,,,,,,,,,,,,,,,,,,
1874,WTG-A,1.687083721,1.691885591,1.68467617,1.691885591,1.690282226,1.691885591,20.76149559,53.92084122,-13.95712471,2009581,58.08781815,-3.700000048,7.249346733,RunUp,33.75517273,24.2712059,39.31710052,48.20601654,21.04408455,31.97292519,12,2.30683279,3.326545238,,,,,,,,,,,,,,,,,,,,,,,,
2018,WTG-A,1.728913665,1.679143786,1.706196427,1.679143786,1.712998152,1.679143786,15.02406883,55.6049881,-18.62274742,2019372,58.77418137,-3.700000048,3.78012991,RunUp,36.59999847,28.94070625,41.16944885,25.13674736,15.05366421,17.65905762,134,1.669340968,3.381637573,,,,,,,,,,,,,,,,,,,,,,,,
2162,WTG-A,-0.834993243,-0.694053948,-0.848106146,-0.694053948,-0.837044716,-0.694053948,762.9835205,54.29986572,822.2819824,2026905,61.10414886,-3.700000048,9.433300972,OnLine,37.50617218,28.02787209,43.92871857,62.7286644,10.21276665,32.73316574,137,6.11760807,3.0494802,,,,,,,,,,,,,,,,,,,,,,,,
2306,WTG-A,6.109071255,6.116873264,6.126097679,6.116873264,6.132540703,6.116873264,2808.694824,62.53164673,2842.317383,2031325,70.70726776,-3.700000048,13.43600655,OnLine,40.58284378,28.7694931,42.62101746,89.34547424,7.542254925,76.64105988,89,11.85646725,3,,,,,,,,,,,,,,,,,,,,,,,,
2450,WTG-A,-0.712921262,-0.854280353,-0.760811508,-0.802536488,-0.718978047,-0.802536488,1174.90271,53.17082214,1416.254517,2045462,60.8755722,-3.700000048,11.20785141,OnLine,38.13137054,24.90505409,41.24486542,71.77291107,10.57950592,68.93343353,131,7.06402874,2.392814159,,,,,,,,,,,,,,,,,,,,,,,,
2594,WTG-A,-0.583577335,-0.850935042,-0.582952797,-0.850935042,-0.585981905,-0.850935042,1966.178833,59.29999924,1661.64502,2074574,67.48313904,-3.700000048,11.82202339,OnLine,41.70629501,30.8061657,45.89862823,76.7545929,9.057623863,138.0750275,150,8.584247589,11,,,,,,,,,,,,,,,,,,,,,,,,
2738,WTG-A,7.543107986,7.533306599,7.545675278,7.533306599,7.546323299,7.533306599,2802.675537,62.19281769,2492.636963,2104679,70.69999695,-3.700000048,13.42919731,OnLine,41.98141861,32.8698349,48.576828,89.12257385,7.365202427,103.6537704,176,12.24127293,1,,,,,,,,,,,,,,,,,,,,,,,,
2882,WTG-A,7.957752228,7.945625305,7.963278294,7.945625305,7.961708069,7.945625305,2810.653809,62.62579727,2391.296387,2163934,70.59999847,-3.700000048,13.31416988,OnLine,42.50110626,32.8685112,50.29905701,90.0090332,8.036775589,87.91210175,169,11.00904465,4,,,,,,,,,,,,,,,,,,,,,,,,
3026,WTG-A,13.96362209,14.44449615,12.81490517,12.63638115,15.39347458,15.0779562,2820,61.94891739,2188.795898,2201435,69.38825226,-3.700000048,13.56473255,OnLine,31.47876358,19.07486343,43.19250107,88.8969574,5.957482338,196.7188721,348,15.19424629,10,,,,,,,,,,,,,,,,,,,,,,,,
3170,WTG-A,4.017519951,4.236068726,1.367308855,1.578543067,3.18013978,2.650537014,2819.451416,59.30934143,2809.599121,2238852,67.80594635,-3.700000048,13.44279957,OnLine,34.97616959,24.78897476,42.67563629,88.07437134,7.375401974,73.05712891,137,12.08359432,4,,,,,,,,,,,,,,,,,,,,,,,,
3314,WTG-A,9.83536911,9.906720161,9.928627014,9.910868645,9.940925598,9.90596962,2819.798096,62.5,2479.790527,2293092,70.19999695,-3.700000048,13.28559208,OnLine,36.79755402,25.15424156,43.72982025,90.34845734,6.030640125,154.9929352,156,14.678092,8,,,,,,,,,,,,,,,,,,,,,,,,
3458,WTG-A,85.00250244,85,85.02529907,85,84.97491455,85,152.6021881,43.3769722,-3.856351137,2310774,43.74195862,-3.700000048,0,Fault 1019,31.54276466,23.83529091,32.77462006,0,0,3.817376614,69,3.823986053,3,,,,,,,,,,,,,,,,,,,,,,,,
3602,WTG-A,-0.348297715,-0.338820487,-0.353073061,-0.338820487,-0.355006456,-0.338820487,435.116394,57.09999847,340.1269226,2312870,64.18251801,-3.700000048,7.453022003,OnLine,34.78128052,20.90154839,38,51.74317169,9.75553894,40.59490967,14,5.08268261,3.225446701,,,,,,,,,,,,,,,,,,,,,,,,
3746,WTG-A,-0.837383389,-0.40089342,-0.822457731,-0.40089342,-0.829050004,-0.40089342,401.4125671,54.6608429,410.0596008,2365100,61.5067482,-3.700000048,7.495861053,OnLine,32.42251587,18.02310181,38.83886337,52.30080795,10.00031567,16.48443794,345,5.001003265,2,,,,,,,,,,,,,,,,,,,,,,,,
3890,WTG-A,-0.784328401,-0.854280353,-0.844312191,-0.854280353,-0.790558994,-0.854280353,1289.673096,58.62657928,1511.21875,2379351,66.1305542,-3.700000048,11.35795403,OnLine,34.77925873,21.02427864,39.84588623,76.00204468,10.38354301,67.0436554,197,7.288901329,2,,,,,,,,,,,,,,,,,,,,,,,,
4034,WTG-A,6.548624992,6.594082832,6.552451611,6.594082832,6.543232441,6.594082832,2360.881104,58.49478531,2163.416016,2405441,66.51862335,-3.700000048,13.30749702,OnLine,32.90883255,23.88684654,42.15403366,88.17118835,9.367143631,117.8527222,178,9.444360733,7.449232578,,,,,,,,,,,,,,,,,,,,,,,,
4178,WTG-A,9.770457268,9.848107338,9.778211594,9.848107338,9.776089668,9.848107338,2799.176025,61.60014725,2698.809326,2419677,69.77568054,-3.700000048,13.38257504,OnLine,34.84339142,22.88656235,40.00870514,89.94429779,6.844822884,107.4834366,168,12.99309444,1.708543539,,,,,,,,,,,,,,,,,,,,,,,,
4322,WTG-A,5.880235672,5.879403591,5.879557133,5.879403591,5.881815434,5.879403591,2507.126465,62.11891174,2396.488525,2469904,69.96320343,-3.700000048,13.15490818,OnLine,37.76235199,25.86007881,45.20783997,88.51065063,8.845123291,162.7019348,161,9.922846794,6.507424355,,,,,,,,,,,,,,,,,,,,,,,,
4466,WTG-A,-0.837270617,-0.820437312,-0.857304454,-0.820437312,-0.846326053,-0.820437312,688.9091187,57.57922745,503.3449402,2508050,65.03483582,-3.700000048,8.034457207,OnLine,38.2606163,20.9238472,41.31837845,53.95378876,8.916022301,19.32535553,348,5.991327286,3.234854221,,,,,,,,,,,,,,,,,,,,,,,,
4610,WTG-A,-0.846204519,-0.509911776,-0.833557367,-0.509911776,-0.862454951,-0.509911776,680.9760132,56.23888016,575.4262085,2514498,63.61771774,-3.700000048,8.361012459,OnLine,35.12759399,21.22954178,38.1645813,58.2213707,9.4492836,26.57902718,142,5.891731262,4.751123905,,,,,,,,,,,,,,,,,,,,,,,,
4754,WTG-A,1.785153866,1.757843137,1.790258527,1.757843137,1.792770147,1.757843137,2743.994629,58.45716095,2681.30127,2536557,66.1227951,-3.700000048,13.47077179,OnLine,36.4192009,24.00123405,42.5789566,86.94304657,8.197072983,120.6798325,149,10.94778538,1.225994945,,,,,,,,,,,,,,,,,,,,,,,,
4898,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
5042,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
5186,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
5330,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
5474,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
5618,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
5762,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
5906,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
6050,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
6194,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
6338,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
6482,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
6626,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
6770,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
6914,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
7058,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
7202,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
7346,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
7490,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
7634,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
7778,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
7922,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
8066,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
8210,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
8354,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
8498,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
8642,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
8786,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
8930,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
9074,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
9218,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
9362,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
9506,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
9650,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
9794,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
9938,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
10082,WTG-A,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Calc Failed,Calc Failed,Bad,Calc Failed,Bad,Calc Failed,,,,,,,,,,,,,,,,,,,,,,,,
10226,WTG-A,-0.851153076,-0.844621062,-0.855921686,-0.844621062,-0.855574489,-0.844621062,1721.503052,53.96282578,1748.244019,2546234,62.41470337,-3.700000048,11.96177483,OnLine,41.59905243,20.95538902,30.35925865,77.86561584,9.815155983,28.54569054,219,8.111433983,0.20042789,,,,,,,,,,,,,,,,,,,,,,,,
10370,WTG-A,1.621656895,1.557748675,1.618930101,1.557748675,1.623298764,1.557748675,86.75351715,53.29999924,91.80901337,2558730,59.51164627,-3.700000048,7.451695442,OnLine,30.5724926,18.90832138,37.70000076,51.87326813,14.61323357,24.49299622,47,3.393115282,5,,,,,,,,,,,,,,,,,,,,,,,,
10514,WTG-A,-0.848297298,-0.833634794,-0.841809511,-0.833634794,-0.853672266,-0.833634794,516.4677734,55.11228561,591.7263794,2570069,63.26810074,-3.700000048,8.432980537,OnLine,34.30398941,20.73407745,36.55566025,57.83109665,10.4381752,45.87197876,212,5.370089054,6,,,,,,,,,,,,,,,,,,,,,,,,
10658,WTG-A,7.799481869,7.730681896,7.80047369,7.730681896,7.80045414,7.730681896,2819.266846,62.40000153,2821.386963,2588950,71.00502014,-3.700000048,13.41192245,OnLine,38.32249451,23.82553673,40.56867981,88.58260345,7.345522881,83.54753113,199,12.1510334,1.228311419,,,,,,,,,,,,,,,,,,,,,,,,
10802,WTG-A,13.19788837,13.13039112,13.20053005,13.13039112,13.19557571,13.13039112,2716.115967,52.85187531,733.9979858,2615054,59.74569702,-3.700000048,10.84344673,OnLine,33.93694687,18.82749367,39.74978638,70.4330368,6.610369682,89.30227661,17,10.82150364,3.235052347,,,,,,,,,,,,,,,,,,,,,,,,
10946,WTG-A,1.339287281,0.741079807,1.320585489,0.741079807,1.327170849,0.741079807,138.0719299,48.71416473,184.943924,2641870,53.89965057,-3.700000048,7.465077877,OnLine,27.19781303,14.97480202,32.14177704,48.745224,13.26668262,31.68422699,157,3.730578184,13.01075745,,,,,,,,,,,,,,,,,,,,,,,,
11090,WTG-A,20.13152885,20.1198349,22.22311592,22.15072441,21.47707748,21.9968071,2820,53.86448669,1731.539551,2673002,56.58871078,-3.700000048,13.46159172,OnLine,29.6238308,15.76129246,36.77661133,88.98670197,4.179591179,217.743515,4,21.45482254,7,,,,,,,,,,,,,,,,,,,,,,,,
11234,WTG-A,-0.880437493,-0.686299443,-0.871805668,-0.701501131,-0.753131866,-0.569466233,707.2073975,49.30519867,623.2909546,2699106,54.66808701,-3.700000048,8.425731659,OnLine,22.17747116,5.865065575,30.16802025,54.45866776,9.522000313,22.00739288,123,5.912610531,1,,,,,,,,,,,,,,,,,,,,,,,,
11378,WTG-A,-0.007156363,-0.045905031,-0.024057811,-0.061106719,0.112061329,0.070928171,445.8244629,48.96111298,404.3516235,2712596,54.77347565,-3.700000048,7.877818108,OnLine,24.43723869,10.16353321,28.94779205,52.38516235,9.460942268,97.93789673,155,5.430631161,2.286797762,,,,,,,,,,,,,,,,,,,,,,,,
11522,WTG-A,85.0037384,85,84.99968719,85,84.98898315,85,2525.434814,38,-13.46222687,2722054,37.62982559,-3.700000048,0.159470424,External Curtailment,23.63975334,12.81996346,24.11834526,1.060431123,0.306871355,19.51979637,168,9.883621216,2.293910503,,,,,,,,,,,,,,,,,,,,,,,,
11666,WTG-A,11.9182148,11.80063343,11.89436245,11.78543091,12.03084946,11.91746616,2404.782715,53.04508209,595.3162842,2730892,60.21269989,-3.700000048,10.1598568,OnLine,36.96886063,21.14724159,36.39486313,69.08344269,7.066501141,140.361496,142,9.560161591,4,,,,,,,,,,,,,,,,,,,,,,,,
11810,WTG-A,20.13850784,20.15087891,20.12656593,20.13567543,20.25364304,20.26771164,2298.596924,48.85809708,315.1319275,2745924,48.97833633,-3.700000048,8.70749855,OnLine,27.4505806,11.83363914,37.79936218,56.80590057,6.248598576,128.5485229,313,9.285779953,6,,,,,,,,,,,,,,,,,,,,,,,,
11954,WTG-A,14.25232697,14.26852894,14.23108292,14.25332642,14.36035252,14.38536167,2814.477539,51.16348267,783.2875366,2754217,53.87424469,-3.700000048,10.99179173,OnLine,32.58250427,11.11066532,30.19413567,72.51805115,6.140552521,58.28876114,185,11.91132545,5,,,,,,,,,,,,,,,,,,,,,,,,
12098,WTG-A,84.99991608,84.9860611,84.99970245,84.9860611,85.00075531,84.9860611,2818.834473,47.109272,-19.85882378,2769249,48.73471451,-3.700000048,0.847305894,External Curtailment,28.2650032,14.33209229,33.00444794,6.948181152,0.467887759,86.19993591,163,13.17615318,3,,,,,,,,,,,,,,,,,,,,,,,,
